PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Green Beverly Hills,Sale,600000.0,3,3,1816,Athena Cho
Green Beverly Hills,Sale,320000.0,2,2,932,Athena Cho
Green Beverly Hills,Sale,2400000.0,6,6,5000,Athena Cho
Green Beverly Hills,Sale,440000.0,3,2,1077,Athena Cho
Green Beverly Hills,Sale,560000.0,3,3,1596,Athena Cho
Green Beverly Hills,Sale,640000.0,4,3,1816,Athena Cho
Green Beverly Hills,Sale,300000.0,2,2,951,Athena Cho
Green Beverly Hills,Sale,480000.0,3,2,1044,Athena Cho
Green Beverly Hills,Sale,600000.0,3,2,1815,Chrix Soo
Green Beverly Hills,Sale,2000000.0,6,6,4000,Rasyadan Hussin
Green Beverly Hills,Sale,300000.0,2,2,951,Chrix Soo
Green Beverly Hills,Sale,320000.0,2,2,932,Chrix Soo
Green Beverly Hills,Sale,560000.0,3,2,1596,Chrix Soo
Green Beverly Hills,Sale,440000.0,3,2,1077,Chrix Soo
Green Beverly Hills,Sale,640000.0,4,3,1816,Chrix Soo
Green Beverly Hills,Sale,2400000.0,6,6,5000,Chrix Soo
Green Beverly Hills,Sale,480000.0,3,2,1044,Chrix Soo
Green Beverly Hills,Sale,450000.0,3,2,1816,Kian Leap
Green Beverly Hills,Sale,519000.0,4,3,1680,Azem .
Green Beverly Hills,Sale,450000.0,3,2,1816,Kian Leap
Green Beverly Hills,Rent,1150.0,2,2,952,Athena Cho
Green Beverly Hills,Rent,1300.0,3,2,1816,Athena Cho
Green Beverly Hills,Rent,1150.0,2,2,952,Chrix Soo
Green Beverly Hills,Rent,1350.0,2,2,940,Jeffrey Yap
Green Beverly Hills,Rent,1350.0,2,2,940,Jeffrey Yap
Green Beverly Hills,Rent,1300.0,3,2,1816,Chrix Soo
Green Beverly Hills,Rent,1500.0,2,2,932,Danny Shoa
Green Beverly Hills,Rent,1500.0,2,2,932,Jemmy Rohani
Green Beverly Hills,Rent,1700.0,3,2,1600,Jason Toh
